원하는 클레이튼 NFT 이름,지갑 주소
Land : Joseon Dynasty,0xa7923De5A8D65B4B92860e0E9f103cB61FB76801
트레져스클럽,0x2404B8100434335294b43C9a83035Dc09F8e33B6
블루웨일(BWPM)(클스왑에서 SBWPM 구입 후 블루웨일 사이트에서 SBWPM-BWPM 1:1 스왑),0x669694940be3502Ea2F986E928Ef1774Fc6392B8
메타콩즈,0xf88Ce692B9532b0C998EfDd4DB8275EeBCd1aF02
FEWK4teens DDOGG for Klaytn,0x3cB7F324d9B7DFF42138E71cD78DD29cDe1e73aB
RURIA NFT,0xE300D7e0a78A33971A5D99d8340B8D6D334263fe
DSC 메이트,0x5518CDc574482Cc5C6F02a83b8472f88e76B4C71
당연히 상품은 ~ DSC 메이트,0x409882C6F34f9E00f6A3063aF03426B954Ba483F
DSC 메이트,0x28E0663DB3d1C61f6a98623d4BF660B99b87a497
메타콩즈,0x4260FfB8461C14E9568FB6373F33ad987ff818eD
Animal Kingdom Friends,0xDF62dd873ae063A6DFc83898EB58b74633bdEc60
도지사운드 클럽 메이트,0xCBf79584ff79845cd19E42f0BEA1E649A5357e78
메타콩즈,0xf105f74fA01d9a39a315eeDB75a7068cdd70cFcD
3DMongz #0106 Beads of Wishes (부담되면 3D몽즈 아무거나!!),0xbAAB51C31BDC0b366C90f5f7Ce4c46c353b2A643
메이트,0xD52483a370De0afc4A1318814d3eb85b66A263Be
Klay Forest V2,0xE9d931775647b84C928578DC32250F998DF732D1
1000IJM,0xC6f5F969AAAC42d73c6E09e75B322fcF007baA1a
SheepFarm,0x9c6858A92D12b2863b7488D35d20D6D22e1a7c5b
dsc mates,https://opensea.io/collection/dogesoundclub-mates
DSC 메이트,0x10e09cD7693884323CB076081F220BA64Ee0D194
DSC MATES,0x21D6de1f8523c7e45a50834C26D296A97993F887
메이트,0xb56fd8408592B4f08De6E724d5Fc16D3e254fd7D
dsc mate,0xfAebFf24B90Aa80c0A8197b948c4Edf932D4C104
KLAY APE CLUB,0x9FD7d5fa826dfc29ba8b93B77d3Ab65E1DaE1171
클레이 포레스트,0xB542896883B5fff7f69D06BaBc2d35D1C149e5D4
클럽스에서 누똥바의 느프트를 서프라이즈!,0xe47e90c58f8336a2f24bcd9bcb530e2e02e1e8ae
KLITS,0xC36c885257d1Fde3Da0DCe94Ee96F149d2e35433
Klaydogesfriend,0x3dc5dDeB9C3613682d79C3e38b14CBA39FC7817E
friendscity,0x1114c0A4b40F3A6efF9e2ceAa76a9c91B56518c2
DSC MATE,0x5FcF10ff0ad4FF259A57EaEd2b56A2366420354B
CuteCatClub,0xE54e769928cf7cB4A3198E7a4E41FCe5B9337096
DSC 메이트,0x0510cc989f92B3d9D73d8b8AAf2e9caA16618faf
NewKlayPUNKS,0x1b1Ee1e5f087641eCe468E0AcB2570dc3B7dB986
Spoon Founder Ticket,0xaFaF8e9d4Ac0118FF0468cB78846060E6295d7D2
Cuna White Witch,0xE77C964141872229d6c32D8d661c5C5945Fdc739
Klayweasel,0x8A7f911031fbF34940aFdbDe2bfEAcF40441348b
military police,0xc38900622324Df7FfF60a524918BE0CdD2e5c018
DSC Mate #2062,0xE456643CD15D55Db6385cCfa646e273E7f7d5c40
도지사운드클럽,0x2C0dca6da5EC66bf37d1F91df476C0b8376cefCB
NewKlayPUNKS #2664,0x4F776a7FE83430eD0ea9234a02A7BC0b91d39d33
NewKlayPUNKS(floor),0x37B3314119E64bF02F5a5CAB0780bBD548C4eF2a
도지사운드클럽,0xc0453a7D5Be7290137B5E62Fbe43c481C33A151D
도지사운드클럽,0xD65450d0af2081341Ff1af30D73B22d08F45EF82
메이트,0xA4D90C717986bCb0A5234839543DEc8aE8Dda0E6
도지사운드클럽,0x5B459d8a956CfA91e53232c7e6e0F9dcaA3f3206
도사클 메이트,0x66a95231EEB0aD249874c9f0be983739BF6950ed
Cuna White Witch,0xd2E14D8A7e50f78dA1a364BCE4C4E2CdDef0C1aF
Mongz,0x38160f6Ec909702EB723741055E535743c3C290B
3D mongz,0x89CA2BaB2d52de8A6C8EB90197D1b9A57cF9c355
themetakongz,0xaa18963B25809b59256F12B93CDbb606259e39CE
dsc mate,0x4Ec6dc888AA7c31FD8404270D9B02bf14cac484B
1000,0xe79Ed48dcA236477413363FCA1DE9C92F8A2aF3e
Klaydobermann,0x45940F02f2A26f6c11AEE1B65B3F39Df189e6EE6
메타콩즈 비긴즈,0xf5fb681d16171BeD26935c457A36A3818Cca05C7
RockStar 메이트,0x56C07D24bac2133A1e432EE11F4a30E7Bf6629a3
트레져스 클럽,0x868DEfbe154792E8571774690a26421f80AcFdD4
CASES BY KATE,0xB45A1e4ad7Fa2bF5da5cBE97935899b9901E8D3a
DSC MATE,0xa67DfE42b4B9022D45cfF06Dc3a9e0eA426f142f
Klapes,0x1a8a49197218338082425e79A1d9b17943080631
조선nft(토지),0x989ae6D2B703128E982A1a19c4Fb9F29985Fe167
KLAYTNMAP,0x40BCa294dCb9897a00f02169d59A38088E960a42
메이트,0xc7060E0E90D27907CB6e51EF419cEC764A77043c
DSC 메이트,0xeC144F840758D16E59Df6047C579BFfdE3Ab4F7b
DSC MATES | DIGITAL IDENTITY,0x1f7cb1d13ffd6f7d5c982587a0a9ce6ef651194b
DSC MATES | DIGITAL IDENTITY,0x41d6df97ae1d213076cb844AE73D8F0048a28e3d
Treasures Club,0x2d80152E4E00B55023Ce52fd722F07cbae9e9DB2
KlayDino,0x1b0f0602e0e066d3fff38713BFF7F786c4f92AB7
Alap,0x978fd7f85ab34412b82c5ecb844993b18fac75de
THE META KONGZ,0xC37926a11B1F173050a4a1F3312A6edd770De2c9
DSC 메이트,0x18CbfFD15387Bd26112D8df43dDB0b3Ab841f464
메타콩즈,0xe4C4f8Dfbbe3a8FaF8D06Fdfd8873Cf36839D77b
dsc메이트,0xb15cdfc2bab744a4a4ccc74ce34d7baea68a5ae7
DSC MATES | DIGITAL IDENTITY,0x1E64A8BC4D90e5be214d2a56653E738b6B27fbf2
Land : Joseon Dynasty,0x732E73E91dDAd54BB683Dc5604D06c865536857a
루머 클럽 (Roomer),0x7d0FCF28e15D99F00af4961f94B6EcD819d4f198
Dsc Mate,0x5CA109bf3a55A82F557898ebf3bD6EcD067381D8
Klapes,0x4Bd9652db41766393C4a555e9b1Bc99c60566457
sheepfarm,0x0b50c32b56bE526D8CA0655a5C63A49E4A563073
HIST 프로젝트 전설 등급 NFT,0xB25E3ffe2308DCD12c634E7F517EC75e2DEb6AF7
Tale of raynor,0x033162eaBd9aA053173DeFd41C952b2f63cF7457
DSC Mate,0xb647E57804869b79Cc2ea74932e033127d0df54E
트위트위츠,0x2E29Fa251E080A5D7c08D0ED9b412415EBbeD127
도지사운드클럽,0x4f0C8D66d7B7622d513f3E2b9f4d48eFec2fFdB3
Alap nft,0xb4f0E4cEaB79942ebdc962A42DEC7e5D226377Bf
뉴클레이펑크(제발!)짖으라면 짖는다!!!!산타영재 안주면 울꺼에영,0xDC7A99A5476cd609120f163aD5fd31e7C080DBe5
JD Land,0x31DCa6780Dea994f23D140479a7A0158956dD22c
KlayDogesFriends,0xB4796D5249d27B7FE25Bfc72Df2dfE45f2cd4A65
뉴클레이펑크(제발!!!)짖으라면 짖는다!!산타 영재 안주면 울까에요,0xDC7A99A5476cd609120f163aD5fd31e7C080DBe5
DSC 메이트,0x906a355a2867fF0059E76685773C0a369153E4c8
Sim's Shithand NFT,0xCc1E737a65F304eF440A140E58290b0eb3eB82B7
KlayDino,0x51db151B03A82D0672083FA1D15c7F2E086358Fa
Land : Joseon Dynasty,0x90815a474f0f803c68168B7d26623ce6ab37DECe
메타콩즈,0xbAC24B73B345ba2f2aE4d7894c5E6771Dc7706F2
KlayWeasel,0x82f537F750F794Aa14A5d6fE67579948026AD925
Klay Museum,0x3CeBA1503756bAB40eCc90906838Dcb81c8ae369
Klapes,0x047ffC141086a30F2B1cf2FE1D0B3541cBd5570d
NewKlayPUNKS,0x3E5D479137a803028688baa09Bcf923eb86419A3
떡방앗간 느프트,0x741369D169A01D09b5390F9371dbda9ac3349358
klaydobermann (V1),0x838cBbF03Cf4d137F0e593B7e2C961B510141c7C
DSC메이트 Floor Price,0x999fE87274E07BD228AB60aEC88750B3a264F38F
Joseon Dynasty,0x892c41A4C898AB0CA1B4ff4fE0BfD5d33D0bC440
dsc 메이트,0xc7060E0E90D27907CB6e51EF419cEC764A77043c
the meta kongz,0x1a179E7A37E6A39dfFA5a77e7B6467E693945881
도지사운드클럽,0x865dBfb6a830aE6F2d6eb2e196a6d33825034fF6
dogesoundclub-mates,0x878e2E5e4E9af2fEFdac76835Df046D7095218AB
DSC MATES | DIGITAL IDENTITY,0x78Ab8c97Fd73EC69aD5FEE9EA70bb55B68C11fa8
Land : Joseon Dynasty,0x625d65285f2A7e6d689aA6dCA675B8555320B89d
클레이튼맵,0x58C43bcE18680b2dDE81E923F4d31667ED44E609
DSC 메이트,0xcE944ef024289CD6b834a9e17dc03b1b71C7BF0c
DSC 메이트,0x86fc29535f70C5C8ca5692803f3383ac7B95322F
Animals Punks V2,0x111f4aD1b4e0E6DaAC0b38936797f1F13B4E0916
Klitz,0x14EE8b506462f39137b884F6383Aba6faF732cbd
DSC Mate (floor),0xF4F075B747d5D40Eff051E2696aCc8863ABc3F8f
Roomer,0x73ee6ac7f9321c301019edfb8f384a82c6856167
SheepFarm,0xcde944406Ce5Da6BEB5008D0d280Cce59a88e00f
ALAP : THE LOST PIONEERS,0x14296b3BBEEfd21aEEa867A7042bc740f2F4D046
KlayFox - 0196,0xB0eCE02086308C7079688fb1694f382D9cD8e52E
THE META KONGZ,0x2A4CF46bcd5cf46dDA79dC6eb71e12aE8aC81c4e
THE META KONGZ,0x1fEb2bBd94D15ACcE366E311396706e576858D34
[Treasures Club] MASTERS,0x7fE68eac70aF11EBBA2b8435d2230C5F6a17E289
ALAP : THE LOST PIONEERS,0xC7A3249c374F234770648cDabBc03d4024fDEfDd
Meta Kongz,0x98e601656a9Fc94EFF9aFaac5F256c51E937A164
메타콩즈,0xA9435E652399d86F2b974BC3097d9d8B876d7C2D
DSC 메이트,0x553F0D96b18cc43D0791B7FAEF1c5231FCD3df96
MetaKongz,0x38DCC13e7815F46ff0206EEAe584807a7676501f
DSC Mate,0x2a5082ba62bAdE5A5D212B8a12DfAf62B3F2E7B3
메타콩즈,0x53e7D149C1E48b5e0608A42F2743f2410139cf7b
Klaydino,0xcD797E5dFa53E43a10c440A6E4BAf9aB90EB9A26
dogesoundclub-mates,0xe64F6e298e4aD941f0Bf8d3eDab3187Bc103ba2A
NewKlayPUNKS,0xAd2a6AAadb9feE898F6b13b988581713377073a1
메타콩즈,0x9eD415c2b56BDbFc47f7DE331903e23323677583
DSC Mate #3363,0x5e90F820086255D9842931D45DB143E21Fd02F0b
도사클!,0x866Fa3B333e9f45d7ae3a8f4acbef90Ed176D5e4
DSC Mate #3933,0x7aA5BE4Db2df61aD9216aF2367ec2e83018a30A3
인절미 느프트 나오면 주라 안돼면 다시 돌려서 딴사람줘,0xaA5DAfF83606Fab7511aC0C3c3C6732eC14a7764
KLAYMINER,0x2Fc4161962B536EaE9e558AF7f144ff65Ef34090
Klapes,0xec056672cfd041387c5800c4c51881f533d49a8c
메타콩즈,0x2a6E1D2F754ac5A17b0909A03D3d6d4BAF93617c
dsc mate,0x7CEA9d6706106413Ee127e5f3Ac31633343eB115
Klaychicken Sunsal,0x34D8e59ABBe2666b59FC19f83fc45E86A4365129
DSC Mate,0xFf90008E46F3a524BA563AbF6eE1a60Ef2a0e503
animal punks v2,0x8Cd4c06262bAdE10d2869bD3034C81d4E5442d64
Klay Mystery Egg,0x29F8aefCeEbe06240d5594803dfB58fb95A5F23E
DSC MATES,0x3ca93554ebfa8D2C2f4Bb06430D849Cd1fAAc206
THE META KONGZ,0xF21F2728073dFBd2C2115E63714E1CC4C128E364
Dsc mate!!!,0xcC9aa6fEF22A92693A895dEfC7E35435d0Ce39e4
DSC 메이트 / 해당시점 최저가로 올라와있는거,0x945895fcF659B39665ed545fb6A36589Ff729950
DSC MATES | DIGITAL IDENTITY,0x5bF3466c74b60992Be1e4414705887E43B9a7952
dsc메이트,0xE02A7E6a1021DC1fA758aaF40C14d141894237eA
dsc 메이트,0x6241743010D1A5fD432b5517F41fb3ba9cFb848e
DSC MATES | DIGITAL IDENTITY,0x01147255BF6Fce6F7d57aC77837D4dAc2aa23bBC
MetaKongz,0xA7b8aF3aCc4cb4B429009E9f5049FD82C97f3B87
전병삼 작가님 LOST: 신나게 춤추는 카카오 프렌즈,0x2E61a287B3C75192D8351f89E2c9889DF5698DD3
도싸클 메이트 / 딴건 됐고 나 메이트줘 영재형!!!!,0xc084092b87787eaEc0ffE088fe53C20EC7A2B428
ALAP : THE LOST PIONEERS,0x12Cad73A45498aD8dA3efb2DDdE96E7a76A61115
KLITS,0xB5678cf6a01c1A3C1704c49212685be1442470AF
Meteo Pebble,0x79Ac0cC5fB663EDC5719FdDeE8Ac56FD858aB8fc
DSC Mate #5957,0x5728777986E43BB92c4C100fc3Aa5472Ca4FE6a5
Kongz#4544,0x37c85a667a3d795890317A46BAB7DB3A8440930e
메이츠,0x5728777986E43BB92c4C100fc3Aa5472Ca4FE6a5
도사클 : 정말 갖고싶지만 저에겐 부담스런 금액이네요. DSC 일원이 꼭 되고싶습니다. 염치없지만 신청해봅니다.,0x46d9B24975D0eF2f68C680C6d1D393c407b1F861
JD People #375,0x3962b43363A8Ed8b2406a5d7f55D2F6EFDF8036B
klapes,0x7F536593b3F1aE7bE6f841bb4788fCCF2e83234f
emate,0xE709Fd1FfE956D59E94c6C968E7Db6826e57e97d
DSC Mate #3178,0x5cFBfe255775DA82eA99DD5c297Ac88ea240388B
DSC,0x95c70532c5e64F2cFdd92B47CB089a8D9B2B42D7
메타콩즈,0x65985dE52A6a386Aadf36c1F0a677Ab7C12Daa96
Doge Sound Club,0x5abBc51e5430a6976e8719b23a76bdA9A95Ec797
KLITS,0x4d74fD44468Ec37EAcDD55972D75B7216F685Fb7
메타몽즈 (꿈은크게 ㅋㅋㅋㅋ),0xb83af6A875c6e5c0ae339b1809fCad313201c592
DSC Mate #9586,0xca4988ED0853e81fCa1Cbff3a1754B9b961fD6A1
DSC Mate,0x0b6Fca87CCe28669915fed27F49ac51014d14c0d
클레이폭스,0x0a1216299125eADe7c1aa16278b97B9772A5273c
DSC 메이트,0x1aeC8Df5d7aF1d26Bef1b81B1E4be098aa275063
Animalspunks v2,0x39b6ba8022394b921E9e9c73Dc9828Aa1dccE50F
DSC 메이트,0xD1FFAfB6892606431A2B98E47B259438efa82A3e
dsc,0x902FB7ceb06dd4E71FbF3679a6B699db978eBa2E
DSC 메이트,0x73a1894f069607F7aFF8987DEE276424e548295E
Dsc mate,0x1e0aD8e1C84034B1DA8C8Fa7Ac7c0AAf0b16E901
DSC 메이트,0xB85Fa8BAd00A727444cab7B6c51c03a9203250B0
도사클,0xa6bC0614Ae72d8189f53700e5B9b62D23bF115bC
도지사운드클럽 메이트,0x403c2d9efa6714eFA1b2181DD4a026b5d5fb9105
메이트,0xc7e06f2C27E8FE4f57F33c3e82Cc313107e467c7
DSC 메이트,0xA21540aEFdc94b4e9a622015D6dEFe132b5b56b8
DSC 메이트,0xb928832fD1f4d4b83A62C41597Fd15C68f879833
DSC 메이트,0xD265BD2e3aA485A8744c12675F4d206706D62735
DSC 메이트,0xaE6cf3B964dE2B84aa4E26cC8b3510464E2036e4
DSC 메이트,0x96967043FE64786B7bEDB70855f6cD4365e34890
조선 다이너스티 NFT(한성사람),0x265D93C50178857c6BE5e64e51363518A25ae18e
DSC 메이트 !!!,0xbe688B58f952e7Daba60d32ABB850d48bd16854F
HARUBANGs,0x0edD98BfcF021468d305FfF872B9bB9F6406e1D4
Land : Joseon Dynatsty,0xeb500BBCFd008b0287e0C558659b7fE3A48ae9bd
메타콩즈(MetaKogz),0x033626b5D717aeba9A92E23E436c23b1203610E6
이메이트,0x6d8097681B332e13572865d142821518fBf71258
DSC Mate #3363,0x500efe11Eae52F6d9e1947d24Efd658C22e57a98
kongz#8656,0xF4F4895987fe1eB3E639772b51f7225FFe9FA062
DSC MATES | DIGITAL IDENTITY,0x27255b435fc358e2de2a3030b64e6dcfb14c1f38
Alap,0x7Ea371Aa8229b2D23C018e1f9B244462673295c9
DSC 메이트,0x7f2d297C16a7cbDF46Fa1831bE873e661eCf5E3E
klaydino(클레이다이노),0xd69BAec2dfb33a74c70C7613A31Fe5D379761B59
Mate,0x5C518311B80e895Acd2ffDFEEA12D10BF2487f60
메이트,0x20253E7376Fde5cA2612f9AdFd432353Cb99DFDB
KLITS,0x5CA109bf3a55A82F557898ebf3bD6EcD067381D8
ROOMER CLUB,0x5CA109bf3a55A82F557898ebf3bD6EcD067381D8
JD People #983,0x1C872aFd58E24e4E5990f77bD2025394EB78A585
DanielPunk,0x5CA109bf3a55A82F557898ebf3bD6EcD067381D8
Klay Hamster,0x5CA109bf3a55A82F557898ebf3bD6EcD067381D8
THE META KONGZ,0x5CA109bf3a55A82F557898ebf3bD6EcD067381D8
dream home club,0x4754975AED0ad9d2E9F6163799508D74DeC00774
믹스,0x5fb09cDe5Fe9eaaE4382b7cF5E83F7F2e1CB1852
DSC Mate #7444,0x98e900103621E6C52019726eEE3461A912E267F9
dsc,0x90AFAE2cc5666fd6F494636B498De7aF9EAEC0a3
DSC MATE #4232,0x00958Ce184dFd2c1D479C8A8514Ff7c452573C4c
DSC mates,0xe7b3f36504E65E33551dAD9bB85Cb7933E8F15d1
Klaydobermann,0x557790A26E68525A9CE154b18fE2d6230DCe7Ff3
DSC MATES | DIGITAL IDENTITY,0x3C4df733a439c37292Bc47945b65490d6dF69ab1
Joseon Dynasty,0x9b365ca2a3fd08F9EC57cD4b7f2605059CD93134
DSC 메이트,0xd7f8caC7AE9C09D562d182823D2AeFb7993Ed067
DSC 메이트,0x70ad0e6a80e55B459FD69BDf748287a0b46036b6
클레이폭스 v1,0x63bA8872f2C44c23018b532945E70A3Fa1707A3e
the meta kongz,0x33BeE7Ec88c29fcaa9b89CA3579d3D44ae5207eB
klapes,0x8c2848cd222cE44600f8CE9717c3EE609fb6b193
THE META KONGZ,0xD3de0ac4029FB41b12601CE96024C1816Da6eaC4
케이스바이케이트,0x1ceb7390a6dff7c3555331588eda39ddb04b39ef
DSC Mate,0x34FEb537D6050b0dbe08BB01eeAd7DF63E4FCC1F
DSC 메이트 !!!!!!,0x0c615E579ff2C4b0AcB3a7c4dBdD4fAeE0c3ECA7
메타콩즈,0x4c1054FAe1BFfC440B52D6A4b04679e5fC4dA2D3
DSC MATES | DIGITAL IDENTITY,0xC66b35A6587f64c8ea750A0e3123bE606344311F
PerFriends,0xBFB1AfE931Df695774326Eb249F9D92145E49B56
DSC MATES 다 좋음 ㅠㅠ,0xda934e39944349103927df3fd00828b29858cb62
DSC MATES,0xD8052A9b01B64aCD65C8a6Ff91736C5ae2dac464
DSC MATES,0x38B3A81b086A061f128A74B33c73AAf472681e0B
DSC 메이트,0x7D485b5A043efd2474c55D196e4CC6e5D240C548
메타콩즈,0x7B559fa25679d14FB1ffB02F60bB2Ee9875221C0
DSC 메이트,0x0Ac0e818D0b164C042C1575c1a3FA1e73DA67637
DSC 메이트,0x1e216A40fF9e604C55FCba1409405B7e04e9Be69
Kkakdugi Universe #77,0x77367B82123889386F36a064CdBc19005F06E150
DSC MATES | DIGITAL IDENTITY,0xfF1b0C98ac436CFb44816768f3D235Cfc25c2998
Rabbit #2504,0x6624372cF8D421c617482a6f712139AaD7D30D92
klay ape club,0xd9b1f58800c11ba9b657309307ff8305bb8bd9c4
메타콩즈,0x42c643f93FBA9aA426aAB1E2d0f68903b45113fd
트레져스 클럽 masters,0x5043D7F0462F68Cab87dD0CE136c78094Ff1AA2d
dsc mate,0x9544f83A867677f5878D76EcD76AbD2231Cf5670
JD People #392,0x1ae192e515D90fA048D7677fD9C649c6a5eCE5C5
트레져스 클럽,0xA380EF72C2cC2d07FABD478740572E3d6C7AFeC5
Joseon Dynasty,0x310778855E6c98eb0b9e74bf6E3618204B92f693
dsc 메이트,0x04AB61e453BBd5A8744DC09C62a605efde3bFB2B
DSC mate,0x264f6795aD709fe8a30A4a6FD8B00793E0312cEd
DSC Mate #976,0xF7Fae907468dAfd89B734624144319C42700d02F
DSC MATES,0x35d6Cd57f4B6D561ad52f8aB5E9E10E6c159aa5C
클레이다이노 KlayDino#124,0x5b409173CE569eDC3Ba70e33dF041db0bAf6C8D5
DSC Mate #4666,0x19938b491f4269428e370e73afd69ac2cc6e7d93
DSC 메이트 Floor Price,0x5B3ab3847F2847a58F2AE385C9e02AA176D146f0
당연히 메이트지(근본코인 !!!),0x474F94e0CAB6f6eF7685f12a3b434211de03ceC2
도지사운드클럽 메이트,0x89eff9AA673786e9C5CbfC1154f86fA6BF416Cb9
DSC메이트,0xfCD54851Ee79562847b71561Aa89E1e4612B5f26
DSC 메이트,0xB0Acd01394c61Fb16C17433A3Bf103358d4BCF13
메타콩즈,0xc275f903aCd4C1c4Ba4648551111CC3ac9E9E97B
dsc 메이트,0xd1204E7a9B77f6AD8e5A43b19999Adaf20BfC2Be
DSC MATES,0x935D45051f943b96800c842B2E6ff744d6cA219e
klapes,0x9Eb1eBbfC01b0D6186a9be5a78cE143FBEBb964A
DSC Mate #7875,0xEBC808A635De0ae0183760bcc7C0B30E76534e65
Cat town punks (RARE),0x7FAed9E1A65b54fBfEcD47BF47c93d02A5532fA6
DSC MATES,0x24d3bfDF3F4CfbdA52B0c6E8358974f252593e90
crypto bands world,0x17633cC7F9aDaE85D857745Ed61A274F722B7297
mate #2177,0xb35EDC5c5b338661F5353294d1A985E9543C6467
DSC MATES,0xEa4c02a38e236d630286153Fcf6E3Ae95F2De5db
바닥인 DSC 메이트,0x7B4Dafb6E885aB364b1dD5278092474d020bb879
KLAYFOX-0081,0xa7087e4F3A1CBce9f548A404E459423804Da0919
DSC Mate #7508,0x51125bB6089d4A5BAfD5223b34268136950A5E5e
더 메타 콩즈,0x8d13eC7d1a91cDc00a13d624924424bb764252c0
Klay Hamster,0x65915164578c95baFC6f2F40715B065d90ba6990
더 메타 콩즈,0x8d78DCe277db8B79df06ddBda30ba936ceE1C067
더 메타 콩즈,0xB6f918CA0597AB2543C876d816bc41C5bEB81d77
더 메타 콩즈,0xE70829b50C0a68F805c594b4B6490E07A0937727
메타 콩즈,0x2719C5BCfaC0397dD7a771912c5587158561DC63
메타 콩즈,0xEDcc36d14EB81b007f8F1509C6e9723DDB3fC397
메타콩즈,0xa3F1ace717E21A61F0fa584755C30fDb4fCd8EFF
DSC 메이트,0xF741d5aD7267C46574787DC2207c03a1FfcA4eFa
Popo #1451,0x669694940be3502Ea2F986E928Ef1774Fc6392B8
THE META KONGZ,0x33BE9F4D5c135bB47acdcde7740a3072CF220465
도베르만,0x554F83B9F945F60F4C1d042a8Be2C7860716e690
DSC메이트,0xE95383b2FD2c1f45E7DDB74EeE0Be90e89B0156E
DSC 메이트 중 젤 저렴한 거,0x26207Ce27c0ABF26e808f896240a331e569a0D6A
도싸클 메이트,0x2Ce03cDb04f4011d4AD64Fa8DD8062125197B28d
DSC 메이트,0x4e838dF1f31a080B0Bc2ED08Ac82F92D28Ee27f8
DSC,0x9B7Ef47957B2878B63bc0246FcD675C99D28584b
DSC 메이트,0xA89BE9f4256565a4d148c3C65eAf7566a83A3B92
TIME NFT V3,0xa6d73290aF717008Eaca7e00333e374511Dc8333
DSC MATES (못 먹어도 고!!),0xc8ee23d8e9393cc8fd9e9ae81a0bcefbea469af0
DSC 메이트 (상한가 있는거 보고 변경했어ㅠ.ㅠ)),0x7e78c04108135c649F80949974bAf495627dAeEA
Cat Town Punks,0xa1d89EBa3Ba998d4f46D0d9AD915eFEcDc4A5E45
매타콩즈,0xFd5E0761dCbb327dE4F1fBD064E5F39250b972B3
THE META KONGZ,0xe0ea8c9ec46f63dbc209738750becf5650eb157e
DCS 메이트,0x1BcD6eb32d98243eF3Ff04e9eB9d7326A260103c
KLITS,0xCc467df87D2C601E249f66d2d77C282a431D4A2A
Kongz#2448,0x5A41a1477acBcB1e6a83F330821BA6C3df90A931
Mates,0x43422775Bb164e11dEcA822d79E8bb77cdeB9796
DSC Mate #7071,0x500efe11Eae52F6d9e1947d24Efd658C22e57a98
DSC,0xecD06250316DAD26A708797644650Fa17cD41Af0
DSC,0xcE155817Fb74b91e8BEA7FF928d1E5B7eF8a4E52
도싸클 메이트,0x49c51B35CcA7C41DA195DE19F6fCDa3ff0BcAbA5
KLITS,0x0c5cA6e04416E8e11fA1A6DeaE0CDAA5e89441B1
DSC 메이트,0x6217A6CeC75732e524690DE3ae02b92Bf21400A8
metakongz,0xc025b8063A23D3A8C85EeaD1AC455730570036ee
DSC MATE!!,0x1a9330c3C0E2f572388e7c3B78eA8855BC0AB972
Metakongz,0x264f462E518E2D851dBAa7D2e932d4023B587E2f
KlayChicken,0x5180DAB3BEF60A18CD5D4445999Ba7C4Aba16fE1
DSC MATES,0x2123951d7b5120a7F2291CE5F2Cdce1422155576
